Energy,Efficiency
186,0.033567
186,0.036867
242,0.031161
242,0.029292
295,0.026058
295,0.024414
352,0.020598
352,0.022275
609,0.012561
609,0.013574
665,0.011014
665,0.01266
768,0.009971
768,0.011157
806,0.009714
806,0.010746
934,0.009609
934,0.008816
1120,0.007675
1120,0.008341
1155,0.007477
1155,0.008103
1238,0.00777
1238,0.006991
1281,0.007008
1281,0.007496
1378,0.006768
1378,0.007031
1402,0.006901
1402,0.006402
1408,0.006884
1408,0.006289
1509,0.006521
1509,0.00586
1661,0.006014
1661,0.005606
1730,0.005611
1730,0.005808
1764,0.005507
1764,0.005778
1847,0.00543
1847,0.005308
2119,0.00489
2119,0.00462
2204,0.004771
2204,0.004541
2448,0.00425
2448,0.004039
