Energy,Efficiency
186,0.032169
186,0.035628
242,0.029707
242,0.028017
295,0.02553
295,0.023618
352,0.020191
352,0.021636
609,0.012182
609,0.013393
665,0.01073
665,0.012446
768,0.009951
768,0.011025
806,0.009459
806,0.010444
934,0.009401
934,0.008492
1120,0.007434
1120,0.008173
1155,0.007085
1155,0.008058
1238,0.007519
1238,0.006774
1281,0.006646
1281,0.007106
1378,0.006663
1378,0.007067
1402,0.006662
1402,0.006164
1408,0.006791
1408,0.006137
1509,0.006169
1509,0.005837
1661,0.006098
1661,0.005422
1730,0.005479
1730,0.005753
1764,0.005393
1764,0.005469
1847,0.0054
1847,0.005179
2119,0.004727
2119,0.004597
2204,0.004478
2204,0.004314
2448,0.004098
2448,0.004003
