energy,intensity,InitialState,FinalState,alpha,gamma
2323.30,0.33,2323.29,0.00,0,1
1170.10,0.048,2323.29,1152.85,0,1
2290.52,0.058,2290.55,0.00,0,1
1138.00,0.027,2290.55,1152.85,0,1
747.97,0.048,2290.55,1542.59,0,1
680.20,0.042,2290.55,1610.37,0,1
2212.09,0.23,2212.59,0.00,0,1
1110.80,0.077,2212.59,1101.19,0,1
1059.40,0.019,2212.59,1152.85,0,1
995.00,0.021,2212.59,1217.47,0,1
669.40,0.013,2212.59,1542.59,0,1
601.00,0.013,2212.59,1610.37,0,1
2179.50,0.28,2178.95,0.00,0,1
1026.43,0.29,2178.95,1152.85,0,1
962.00,0.016,2178.95,1217.47,0,1
637.03,0.119,2178.95,1542.59,0,1
569.20,0.04,2178.95,1610.37,0,1
2107.13,0.44,2107.00,0.00,0,1
1006.00,0.029,2107.00,1101.19,0,1
954.05,0.51,2107.00,1152.85,0,1
890.00,0.058,2107.00,1217.47,0,1
607.10,0.016,2107.00,1500.90,0,1
564.34,0.3,2107.00,1542.59,0,1
496.80,0.066,2107.00,1610.37,0,1
1914.70,2,1914.83,0.00,0,1
813.80,0.053,1914.83,1101.19,0,1
761.97,1.48,1914.83,1152.85,0,1
372.31,0.42,1914.83,1542.59,0,1
304.20,0.016,1914.83,1610.37,0,1
729.85,0.037,1831.02,1101.19,0,1
613.40,0.05,1831.02,1217.47,0,1
288.00,0.027,1831.02,1542.59,0,1
1753.20,0.04,1753.20,0.00,0,1
403.00,0.011,1753.20,1350.64,0,1
1610.47,1.31,1610.37,0.00,0,1
457.56,0.38,1610.37,1152.85,0,1
1542.75,0.74,1542.59,0.00,0,1
442.00,0.032,1542.59,1101.19,0,1
325.50,0.034,1542.59,1217.47,0,1
1500.54,0.17,1500.90,0.00,0,1
1350.60,0.032,1350.64,0.00,0,1
743.30,0.037,1280.30,537.04,0,1
1217.50,0.18,1217.47,0.00,0,1
650.05,0.08,1186.59,537.04,0,1
1152.98,2.7,1152.85,0.00,0,1
1101.18,0.64,1101.19,0.00,0.001,1
298.20,0.032,1101.19,802.40,0,1
265.20,0.087,802.40,537.04,0.036,1
537.22,0.25,537.04,0.00,0.15,1
0.00,0.38,0.00,2323.29,0,0
0.00,0.17,0.00,2290.55,0,0
0.00,0.35,0.00,2212.59,0,0
0.00,0.7,0.00,2178.95,0,0
0.00,1.6,0.00,2107.00,0,0
0.00,4.4,0.00,1914.83,0,0
0.00,0.1,0.00,1831.02,0,0
0.00,0.05,0.00,1753.20,0,0
0.00,1.15,0.00,1610.37,0,0
0.00,0.1,0.00,1542.59,0,0
0.00,0.16,0.00,1500.90,0,0
0.00,0.1,0.00,1350.64,0,0
0.00,0.01,0.00,1280.30,0,0
0.00,0.01,0.00,1272.80,0,0
0.00,0.02,0.00,1217.47,0,0
0.00,0.1,0.00,1186.59,0,0
0.00,0.02,0.00,1152.85,0,0
0.00,0.3,0.00,1101.19,0,0
0.00,0.02,0.00,802.40,0,0
0.00,92.9,0.00,0.00,0,0
