energy,intensity,InitialState,FinalState,alpha,gamma
0.00,100,0.00_210Bi,0.00_210Po,0,0
0.00,84,0.00_210Pb,46.54_210Bi,0,0
0.00,16,0.00_210Pb,0.00_210Bi,0,0
0.00,0.00104,0.00_210Po,803.05_206Pb,0,0
0.00,100,0.00_210Po,0.00_206Pb,0,0
0.00,0.00014,0.00_214Bi,2348.30_214Po,0,0
0.00,0.0019,0.00_214Bi,3183.65_214Po,0,0
0.00,0.00014,0.00_214Bi,3173.30_214Po,0,0
0.00,0.00079,0.00_214Bi,3160.30_214Po,0,0
0.00,0.00009,0.00_214Bi,3149.20_214Po,0,0
0.00,0.0021,0.00_214Bi,3142.58_214Po,0,0
0.00,0.0014,0.00_214Bi,3094.01_214Po,0,0
0.00,0.0073,0.00_214Bi,3081.80_214Po,0,0
0.00,0.038,0.00_214Bi,3053.93_214Po,0,0
0.00,0.043,0.00_214Bi,3014.11_214Po,0,0
0.00,0.007,0.00_214Bi,3003.40_214Po,0,0
0.00,0.0104,0.00_214Bi,3000.00_214Po,0,0
0.00,0.0089,0.00_214Bi,2986.24_214Po,0,0
0.00,0.0168,0.00_214Bi,2978.93_214Po,0,0
0.00,0.0004,0.00_214Bi,2962.80_214Po,0,0
0.00,0.041,0.00_214Bi,2940.67_214Po,0,0
0.00,0.00217,0.00_214Bi,2934.54_214Po,0,0
0.00,0.0011,0.00_214Bi,2928.56_214Po,0,0
0.00,0.02225,0.00_214Bi,2921.90_214Po,0,0
0.00,0.0014,0.00_214Bi,2919.50_214Po,0,0
0.00,0.0045,0.00_214Bi,2896.98_214Po,0,0
0.00,0.0108,0.00_214Bi,2893.58_214Po,0,0
0.00,0.0114,0.00_214Bi,2880.36_214Po,0,0
0.00,0.014,0.00_214Bi,2869.60_214Po,0,0
0.00,0.032,0.00_214Bi,2860.89_214Po,0,0
0.00,0.033,0.00_214Bi,2826.98_214Po,0,0
0.00,0.047,0.00_214Bi,2785.96_214Po,0,0
0.00,0.05,0.00_214Bi,2769.94_214Po,0,0
0.00,0.538,0.00_214Bi,2728.61_214Po,0,0
0.00,0.267,0.00_214Bi,2719.27_214Po,0,0
0.00,0.104,0.00_214Bi,2698.76_214Po,0,0
0.00,0.292,0.00_214Bi,2694.62_214Po,0,0
0.00,0.127,0.00_214Bi,2662.31_214Po,0,0
0.00,0.036,0.00_214Bi,2630.86_214Po,0,0
0.00,0.15,0.00_214Bi,2604.68_214Po,0,0
0.00,0.00018,0.00_214Bi,2562.40_214Po,0,0
0.00,0.0001,0.00_214Bi,2553.00_214Po,0,0
0.00,0.044,0.00_214Bi,2544.96_214Po,0,0
0.00,0.123,0.00_214Bi,2508.17_214Po,0,0
0.00,0.173,0.00_214Bi,2505.37_214Po,0,0
0.00,1.244,0.00_214Bi,2482.47_214Po,0,0
0.00,2.78,0.00_214Bi,2447.70_214Po,0,0
0.00,0.074,0.00_214Bi,2423.23_214Po,0,0
0.00,0.012,0.00_214Bi,2360.57_214Po,0,0
0.00,0.557,0.00_214Bi,2293.36_214Po,0,0
0.00,0.196,0.00_214Bi,2266.41_214Po,0,0
0.00,5.6,0.00_214Bi,2204.09_214Po,0,0
0.00,0.855,0.00_214Bi,2192.54_214Po,0,0
0.00,0.444,0.00_214Bi,2147.83_214Po,0,0
0.00,4.345,0.00_214Bi,2118.53_214Po,0,0
0.00,0.102,0.00_214Bi,2088.44_214Po,0,0
0.00,2.45,0.00_214Bi,2017.31_214Po,0,0
0.00,1.431,0.00_214Bi,2010.83_214Po,0,0
0.00,1.177,0.00_214Bi,1994.64_214Po,0,0
0.00,1.588,0.00_214Bi,1890.31_214Po,0,0
0.00,8.14,0.00_214Bi,1847.44_214Po,0,0
0.00,16.96,0.00_214Bi,1764.52_214Po,0,0
0.00,0.163,0.00_214Bi,1712.97_214Po,0,0
0.00,0.125,0.00_214Bi,1742.98_214Po,0,0
0.00,17.57,0.00_214Bi,1729.61_214Po,0,0
0.00,0.61,0.00_214Bi,1661.28_214Po,0,0
0.00,3.12,0.00_214Bi,1543.37_214Po,0,0
0.00,0.89,0.00_214Bi,1415.49_214Po,0,0
0.00,7.35,0.00_214Bi,1377.68_214Po,0,0
0.00,0.58,0.00_214Bi,609.32_214Po,0,0
0.00,19.1,0.00_214Bi,0.00_214Po,0,0
0.00,2.75,0.00_214Pb,839.01_214Bi,0,0
0.00,1.04,0.00_214Pb,533.68_214Bi,0,0
0.00,45.9,0.00_214Pb,351.93_214Bi,0,0
0.00,40.2,0.00_214Pb,295.22_214Bi,0,0
0.00,11,0.00_214Pb,0.00_214Bi,0,0
0.00,0.00006,0.00_214Po,1097.70_210Pb,0,0
0.00,0.0104,0.00_214Po,799.70_210Pb,0,0
0.00,99.9895,0.00_214Po,0.00_210Pb,0,0
0.00,0.00109978,0.00_218Po,836.00_214Pb,0,0
0.00,99.9789,0.00_218Po,0.00_214Pb,0,0
0.00,0.0005,0.00_222Rn,675.00_218Po,0,0
0.00,0.078,0.00_222Rn,511.00_218Po,0,0
0.00,99.92,0.00_222Rn,0.00_218Po,0,0
0.00,0.00027,0.00_226Ra,635.47_222Rn,0,0
