energy,intensity,InitialState,FinalState,alpha,gamma
2323.30,0.33,2323.29_111In,0.00_111In,0,1
1170.10,0.048,2323.29_111In,1152.85_111In,0,1
2290.52,0.058,2290.55_111In,0.00_111In,0,1
1138.00,0.027,2290.55_111In,1152.85_111In,0,1
747.97,0.048,2290.55_111In,1542.59_111In,0,1
680.20,0.042,2290.55_111In,1610.37_111In,0,1
2212.09,0.23,2212.59_111In,0.00_111In,0,1
1110.80,0.077,2212.59_111In,1101.19_111In,0,1
1059.40,0.019,2212.59_111In,1152.85_111In,0,1
995.00,0.021,2212.59_111In,1217.47_111In,0,1
669.40,0.013,2212.59_111In,1542.59_111In,0,1
601.00,0.013,2212.59_111In,1610.37_111In,0,1
2179.50,0.28,2178.95_111In,0.00_111In,0,1
1026.43,0.29,2178.95_111In,1152.85_111In,0,1
962.00,0.016,2178.95_111In,1217.47_111In,0,1
637.03,0.119,2178.95_111In,1542.59_111In,0,1
569.20,0.04,2178.95_111In,1610.37_111In,0,1
2107.13,0.44,2107.00_111In,0.00_111In,0,1
1006.00,0.029,2107.00_111In,1101.19_111In,0,1
954.05,0.51,2107.00_111In,1152.85_111In,0,1
890.00,0.058,2107.00_111In,1217.47_111In,0,1
607.10,0.016,2107.00_111In,1500.90_111In,0,1
564.34,0.3,2107.00_111In,1542.59_111In,0,1
496.80,0.066,2107.00_111In,1610.37_111In,0,1
1914.70,2,1914.83_111In,0.00_111In,0,1
813.80,0.053,1914.83_111In,1101.19_111In,0,1
761.97,1.48,1914.83_111In,1152.85_111In,0,1
372.31,0.42,1914.83_111In,1542.59_111In,0,1
304.20,0.016,1914.83_111In,1610.37_111In,0,1
729.85,0.037,1831.02_111In,1101.19_111In,0,1
613.40,0.05,1831.02_111In,1217.47_111In,0,1
288.00,0.027,1831.02_111In,1542.59_111In,0,1
1753.20,0.04,1753.20_111In,0.00_111In,0,1
403.00,0.011,1753.20_111In,1350.64_111In,0,1
1610.47,1.31,1610.37_111In,0.00_111In,0,1
457.56,0.38,1610.37_111In,1152.85_111In,0,1
1542.75,0.74,1542.59_111In,0.00_111In,0,1
442.00,0.032,1542.59_111In,1101.19_111In,0,1
325.50,0.034,1542.59_111In,1217.47_111In,0,1
1500.54,0.17,1500.90_111In,0.00_111In,0,1
1350.60,0.032,1350.64_111In,0.00_111In,0,1
743.30,0.037,1280.30_111In,537.04_111In,0,1
1217.50,0.18,1217.47_111In,0.00_111In,0,1
650.05,0.08,1186.59_111In,537.04_111In,0,1
1152.98,2.7,1152.85_111In,0.00_111In,0,1
1101.18,0.64,1101.19_111In,0.00_111In,0.001,1
298.20,0.032,1101.19_111In,802.40_111In,0,1
265.20,0.087,802.40_111In,537.04_111In,0.036,1
537.22,0.25,537.04_111In,0.00_111In,0.15,1
0.00,0.38,0.00_111Sn,2323.29_111In,0,0
0.00,0.17,0.00_111Sn,2290.55_111In,0,0
0.00,0.35,0.00_111Sn,2212.59_111In,0,0
0.00,0.7,0.00_111Sn,2178.95_111In,0,0
0.00,1.6,0.00_111Sn,2107.00_111In,0,0
0.00,4.4,0.00_111Sn,1914.83_111In,0,0
0.00,0.1,0.00_111Sn,1831.02_111In,0,0
0.00,0.05,0.00_111Sn,1753.20_111In,0,0
0.00,1.15,0.00_111Sn,1610.37_111In,0,0
0.00,0.1,0.00_111Sn,1542.59_111In,0,0
0.00,0.16,0.00_111Sn,1500.90_111In,0,0
0.00,0.1,0.00_111Sn,1350.64_111In,0,0
0.00,0.01,0.00_111Sn,1280.30_111In,0,0
0.00,0.01,0.00_111Sn,1272.80_111In,0,0
0.00,0.02,0.00_111Sn,1217.47_111In,0,0
0.00,0.1,0.00_111Sn,1186.59_111In,0,0
0.00,0.02,0.00_111Sn,1152.85_111In,0,0
0.00,0.3,0.00_111Sn,1101.19_111In,0,0
0.00,0.02,0.00_111Sn,802.40_111In,0,0
0.00,92.9,0.00_111Sn,0.00_111In,0,0
