,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
1,186.211,A0,226Ra,1,222Rn,0.006925651881969,6.12453665373888e-05,0.0330991336904,0.000292178005812,NA,NA,1.09466
2,186.211,A1,226Ra,1,222Rn,0.007098879656081,6.27535955426063e-05,0.034862669645052,0.000307669834654,1.10395585216034,0.0212130529442829,1.09831
3,186.211,A2,226Ra,1,222Rn,0.006772770903865,5.98886614021501e-05,0.033764445835941,0.000297978723714,1.08666367785743,0.0208867961877504,1.09864
4,186.211,A3,226Ra,1,222Rn,0.006956834451468,6.15246367293853e-05,0.034038452721576,0.000300468974063,1.03964694191766,0.019984213837942,1.10423
5,186.211,B0,226Ra,1,222Rn,0.007382124437905,6.52704412511139e-05,0.034735394347678,0.000306587274784,1.02586722088085,0.0197163641030711,1.10262
6,186.211,B1,226Ra,1,222Rn,0.007082216978085,6.26129146476301e-05,0.03372278711734,0.000297630868115,1.00509351097659,0.0193188208922971,1.07419
7,186.211,B2,226Ra,1,222Rn,0.007142054371927,6.31827884417605e-05,0.033629471788005,0.000296791918391,1.06032733296838,0.0203827545521328,1.11579
8,186.211,B3,226Ra,1,222Rn,0.007369720024553,6.51415819797341e-05,0.035765474629451,0.000315599260349,1.06138394123279,0.020396761575282,1.10753
9,241.997,A0,226Ra,1,214Bi,0.005592654869121,5.14482286536245e-05,0.027068734360249,0.000248817871493,NA,NA,1.05585
10,241.997,A1,226Ra,1,214Bi,0.005885826942561,5.4137918329463e-05,0.028862768622205,0.000265284476262,1.10558473471515,0.0216166247852418,1.06381
11,241.997,A2,226Ra,1,214Bi,0.005585636820199,5.13834009702448e-05,0.027505501219059,0.000252822952293,1.10012370477667,0.0215153834276085,1.0628
12,241.997,A3,226Ra,1,214Bi,0.005698469318203,5.24208428430964e-05,0.02754707673127,0.000253210183904,1.05226885763535,0.0205790631486557,1.06617
13,241.997,B0,226Ra,1,214Bi,0.0059316232773,5.45621658438549e-05,0.027861439763829,0.000256103851238,1.02766610078973,0.020096187670508,1.07148
14,241.997,B1,226Ra,1,214Bi,0.005750749035352,5.28985206781771e-05,0.02670969491043,0.000245516324459,1.03042453246947,0.0201524959126605,1.05187
15,241.997,B2,226Ra,1,214Bi,0.005729483306302,5.27082510460586e-05,0.026759969346396,0.000245979736624,1.0689729049464,0.0209066206142095,1.05169
16,241.997,B3,226Ra,1,214Bi,0.00591826262119,5.44353788101474e-05,0.028365957542694,0.000260724042762,1.07468775440486,0.0210152154798297,1.06032
17,295.224,A0,226Ra,1,214Bi,0.004721351178894,4.04635631242563e-05,0.022882212397048,0.000196033675754,NA,NA,1.08094
18,295.224,A1,226Ra,1,214Bi,0.004991746049239,4.27781682484545e-05,0.024540632701662,0.000210233141181,1.1027809626347,0.0209248663426511,1.06734
19,295.224,A2,226Ra,1,214Bi,0.004698306038478,4.02658404770833e-05,0.023177097508743,0.000198557683806,1.09817270768439,0.0208425980472714,1.05518
20,295.224,A3,226Ra,1,214Bi,0.0048122280831,4.12420112746227e-05,0.02323909817575,0.000199089967869,1.05334576730255,0.0199913465522092,1.04794
21,295.224,B0,226Ra,1,214Bi,0.005004347546163,4.28868590405102e-05,0.023558933083662,0.000201829542711,1.02535409443554,0.0194583802201453,1.06576
22,295.224,B1,226Ra,1,214Bi,0.004835244054015,4.14383107982187e-05,0.022459909817776,0.000192417060112,1.03031754029764,0.0195551336935838,1.06207
23,295.224,B2,226Ra,1,214Bi,0.004826275205191,4.13621477157945e-05,0.022569709704462,0.000193357522556,1.06763538713746,0.020263196190704,1.07502
24,295.224,B3,226Ra,1,214Bi,0.004968487884059,4.25790855968391e-05,0.023932686523228,0.000205028068337,1.06934612164177,0.0202932698794351,1.08096
25,351.932,A0,226Ra,1,214Bi,0.0040238946302,3.44061063972597e-05,0.019526031279108,0.00016691921498,NA,NA,1.08025
26,351.932,A1,226Ra,1,214Bi,0.004278164666665,3.65788853184506e-05,0.021174142117438,0.000181003560537,1.09540370544612,0.0207660756143736,1.08142
27,351.932,A2,226Ra,1,214Bi,0.004005383045304,3.42477887485588e-05,0.019745436152899,0.000168793903184,1.09891908421661,0.0208377623353682,1.06131
28,351.932,A3,226Ra,1,214Bi,0.004104009350662,3.50907665387938e-05,0.019865117711715,0.000169817174026,1.05089958534517,0.0199267104242587,1.05297
29,351.932,B0,226Ra,1,214Bi,0.004286048126747,3.6646463625198e-05,0.020122374790054,0.000172016143779,1.02815794268328,0.019493844275864,1.07329
30,351.932,B1,226Ra,1,214Bi,0.004126206460778,3.52803350422516e-05,0.019113805735732,0.000163396356474,1.03315263813616,0.0195911008360994,1.05778
31,351.932,B2,226Ra,1,214Bi,0.00412408339397,3.52623622296533e-05,0.019226692644273,0.00016436119868,1.07092659911745,0.0203071177206863,1.06611
32,351.932,B3,226Ra,1,214Bi,0.004232409542819,3.61879123270883e-05,0.020363722958723,0.000174078353335,1.07057234578418,0.020298162039053,1.07157
