energy(keV),A0,A1,A2,A3,B0,B1,B2,B3,
186,1.09466,1.09831,1.09864,1.10423,1.10262,1.07419,1.11579,1.10753,
242,1.05585,1.06381,1.0628,1.06617,1.07148,1.05187,1.05169,1.06032,
295,1.08094,1.06734,1.05518,1.04794,1.06576,1.06207,1.07502,1.08096,
352,1.08025,1.08142,1.06131,1.05297,1.07329,1.05778,1.06611,1.07157,
609,1.09179,1.08065,1.09157,1.08231,1.08574,1.08699,1.08283,1.09941,
665,1.15393,1.14945,1.14964,1.15695,1.16627,1.19517,1.14715,1.15993,
768,1.08929,1.11894,1.10381,1.08247,1.11924,1.0835,1.12086,1.10793,
806,1.10314,1.10624,1.11144,1.07426,1.15171,1.11152,1.10519,1.10413,
934,1.09878,1.08995,1.07874,1.0877,1.11567,1.0896,1.08889,1.10704,
1120,1.09426,1.08678,1.06369,1.07947,1.08822,1.1013,1.1118,1.09941,
1155,1.09337,1.08372,1.09578,1.10623,1.09412,1.07014,1.09632,1.13733,
1238,1.07973,1.11143,1.08179,1.08099,1.08018,1.06737,1.09264,1.10998,
1281,1.0791,1.06963,1.07415,1.04722,1.07485,1.08382,1.11109,1.06921,
1378,1.05024,1.03886,1.04738,1.02737,1.04573,1.00346,1.03881,1.06063,
1402,1.10512,1.07794,1.10624,1.07347,1.098,1.09346,1.07855,1.08079,
1408,1.09014,1.09461,1.08928,1.089,1.06628,1.11279,1.13438,1.10657,
1509,1.08586,1.1128,1.07842,1.0724,1.09926,1.0887,1.07937,1.05688,
1661,1.06613,1.07278,1.05048,1.08058,1.05484,1.08746,1.06135,1.12468,
1730,1.02978,1.03511,1.03979,1.04721,1.03975,0.998481,1.02004,1.05001,
1764,1.0326,1.04921,1.06469,1.02553,1.01728,1.0303,1.01026,1.01409,
1847,1.0228,1.02298,1.04623,1.05206,1.06168,1.01561,1.0269,1.04267,
2119,1.04775,1.05844,1.03911,1.05407,1.03177,1.03006,1.00924,1.02828,
2204,1.03057,1.05065,1.02711,1.00846,1.01943,1.0378,1.06235,1.03802,
2448,1.00333,1.05224,1.05033,1.02881,1.06538,1.04404,1.00388,1.02373,
