 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
118.97,0.15,0.00053,0.00011,1082.816,963.363,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
121.7817,0.0003,28.53,0.16,121.7818,0,,,E2,,,1.155, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
125.68,0.1,0.00513,0.00019,810.453,684.69,,,[E2],,,1.033, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
137.56,0.22,0.00074,0.00013,1371.721,1233.8626,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
148,0.05,0.0205,0.0011,1233.8626,1085.8408,,,M1+E2,+1.0,6,0.569, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
150.13,0.08,0.0009,0.00008,1371.721,1221.67,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
166.91,0.25,0.0021,0.0008, , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
172.1,0.4,0.00043,0.00021,1282.24,1109.2,,,[E2],,,0.369, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
174.8,0.22,0.00138,0.00019,930.546,755.396,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
175.18, ,0.004,0.0011, , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
