 mean energy, unc, intensity beta %, unc, start level energy,max energy, unc, log ft, unc, transition type, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
, ,0.00014, ,2348.3,922,11, , , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
22.3,3,0.0019, ,3183.65,86,11,6.5, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
25.1,3,0.00014,0.00009,3173.3,97,11,7.8,0.4, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
28.6,3.1,0.00079,0.00012,3160.3,110,11,7.21,0.16, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
31.7,3.1,0.00009, ,3149.2,121,11,8.3, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
33.5,3.1,0.0021,0.0004,3142.58,127,11,6.99,0.15, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
47.1,3.2,0.0014, ,3094.01,176,11,7.6, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
50.6,3.2,0.0073,0.0009,3081.80,188,11,6.97,0.1, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
58.7,3.3,0.038,0.004,3053.93,216,11,6.44,0.09, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
70.5,3.3,0.043,0.005,3014.11,256,11,6.62,0.08, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
73.7,3.4,0.007,0.003,3003.4,267,11,7.47,0.2, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
74.7,3.4,0.0104,0.0005,3000.00,270,11,7.31,0.07, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
78.9,3.4,0.0089, ,2986.24,284,11,7.4, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
81.1,3.4,0.0168,0.0006,2978.93,291,11,7.21,0.06, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
86,3.4,0.0004,0.0002,2962.8,307,11,8.91,0.23, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
92.8,3.5,0.041,0.003,2940.67,329,11,6.99,0.06, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
94.8,3.5,0.00217,0.00022,2934.54,335,11,8.29,0.07, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
96.6,3.5,0.0011,0.0001,2928.56,341,11,8.61,0.07, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
98.7,3.5,0.02225,0.00009,2921.90,348,11,7.33,0.05, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
99.4,3.5,0.0014,0.0009,2919.5,351,11,8.5,0.3, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
106.5,3.5,0.0045,0.0005,2896.98,373,11,8.13,0.07, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
107.6,3.5,0.0108,0.0005,2893.58,376,11,7.76,0.05, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
