 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
36.8,0.2, , ,2544.96,2508.17,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
61,0.8, , ,2266.41,2204.089,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
62.5, , , ,62.5,0,,,(M1),,,6.2, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,A,0.021,0.001, , , , , ,5621,3,81,129,Tl
71.1,0.2, , ,2088.44,2017.309,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
104.4,0.2, , ,1994.64,1890.306,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
191.1, , , ,253.6,62.5,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,A,0.021,0.001, , , , , ,5621,3,81,129,Tl
221,1,0.003,0.001,1764.515,1543.372,,,[M1 E2],,,0.8, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
230,1,0.004, ,1994.64,1764.515,,,[E1],,,0.0585, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
230,1,0.004, ,2423.23,2192.537,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
247.2,0.8, , ,2694.62,2447.702,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
252.8,0.06,0.003,0.001,2017.309,1764.515,,,[M1],,,0.809, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
255.16,0.1, , ,2447.702,2192.537,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
268.8,0.2,0.017,0.002,1543.372,1274.766,,,[E1],,,0.0405, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
273.8,0.05,0.128,0.007,2482.468,2208.69,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
280.6,0.4, , ,3000,2719.27,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
280.97,0.04,0.067,0.007,2728.609,2447.702,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
282,0.4, , ,2826.98,2544.96,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
286.9,0.6,0.0027,0.0005, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
297.81,0.24, , ,2010.83,1712.97,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
304.2,0.2,0.038, ,1847.443,1543.372,,,[M1 E2],,,0.3, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
304.2,0.2,0.038, ,2508.17,2204.089,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
314.9,0.8, , ,3014.11,2698.76,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
333.37,0.05,0.065,0.004,1994.64,1661.279,,,[E1],,,0.0247, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
334.78,0.08,0.037, ,2423.23,2088.44,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
334.638,0.08,0.037, ,2482.468,2147.83,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
338.5,0.6,0.11,0.04, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
348.92,0.06,0.104,0.012,1764.515,1415.495,,,[M1],,,0.335, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
351.9,0.5,0.07,0.01,1729.609,1377.678,,,[M1+E2],,,0.2, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
356,0.17,0.007,0.002,2017.309,1661.279,,,[E2],,,0.077, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
363.47,0.12,0.0069,0.0009, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
375.59,0.15,0.0043,0.0011, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
386.78,0.05,0.295,0.005,1764.515,1377.678,,,[M1 E2],,,0.16, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
388.89,0.05,0.402,0.01,2118.533,1729.609,,,(M1),,,0.25, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
394.05,0.08,0.0126,0.0009,2482.468,2088.44,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
396.02,0.06,0.026,0.004,2604.68,2208.69,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
405.72,0.02,0.169,0.006,1015.039,609.316,,,[E2],,,0.0541, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
