 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
9.5, , , ,62.69,53.2282,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
53.2284,0.0018,1.075,0.007,53.2282,0,,,M1+E2,0.030,10,12.14, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
56.84, , , ,351.9324,295.2231,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
62.7, , , ,62.69,0,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
107.22,0.09,0.0068,0.0014, , ,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
118.17, , , ,377.04,258.87,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
137.45,0.3,0.053,0.014, , ,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
141.3,0.6,0.058,0.018, , ,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
170.07,0.06,0.015,0.003, , ,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
181.5, ,0.0009,0.0005,533.676,351.9324,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
196.19,0.05,0.067,0.008,258.870,62.69,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
205.68,0.09,0.0114,0.0013,258.870,53.2282,,,[M1],,,1.318, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
216.47,0.07,0.01,0.0023, , ,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
238.4, ,0.016, ,533.676,295.2231,,,[M1 E2],,,0.6, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
241.995,0.0023,7.251,0.016,295.2231,53.2282,,,M1(+E2),0.00,15,0.838, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
258.86,0.03,0.531,0.004,258.870,0,,,M1,,,0.696, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
274.8,0.04,0.355,0.01,533.676,258.87,,,(M1+E2),1.0,LE,0.48, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
