 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
34.8,1.6, , ,635.47,600.66,,, ,,, , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
186.211,0.013,3.64,0.04,186.211,0,,,E2,,,0.693, ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
187.1,0.2, , ,635.47,448.37,,, ,,, , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
262.27,0.05,0.005,0.0005,448.37,186.211,,,[E2],,,0.212, ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
414.6,0.05,0.0003,0,600.66,186.211,,,[E1],,,0.0164, ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
449.37,0.1,0.00019,0,635.47,186.211,,,[E1],,,0.0138, ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
600.66,0.05,0.00049,0,600.66,0,,,[E1],,,0.00766, ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
14.088, ,0.81, , , ,X,L, , , , , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
81.07, ,0.2, , , ,X,KA2, , , , , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
83.789, ,0.329, , , ,X,KA1, , , , , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
94.878, ,0.114, , , ,X,KpB1, , , , , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
96.054, ,0.151, , , ,X,KB, , , , , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,
97.529, ,0.0366, , , ,X,KpB2, , , , , ,88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, , , , , , ,4870.70,0.25,86,136,Rn,

