Nuclide,Energy,is_InCas,Daughter,Detector,x100mm,dx100mm,x13mm,dx13mm,z,dz
152Eu,121.7817,1,152Sm,A0,0.008610212722815,4.73972256116552e-05,0.041158552456779,0.000230472339451,NA,NA
152Eu,121.7817,1,152Sm,A1,0.008785327155679,4.83586932473274e-05,0.041866891632238,0.00023431486453,1.13765283462136,0.0188599589667475
152Eu,121.7817,1,152Sm,A2,0.008644459804818,4.75846400449115e-05,0.04211673291176,0.00023567372261,1.11191496738472,0.0184385466002497
152Eu,121.7817,1,152Sm,A3,0.008717121766262,4.79846832043006e-05,0.043002113061167,0.000240664851514,1.03116303887664,0.0170992340919546
152Eu,121.7817,1,152Sm,B0,0.008743767974809,4.81300682455807e-05,0.037996886395663,0.000212825018225,1.11079173461155,0.0184193969818858
152Eu,121.7817,1,152Sm,B1,0.008587428254388,4.72703605931313e-05,0.038071796949978,0.000213194487428,1.07949453513382,0.0179029002708403
152Eu,121.7817,1,152Sm,B2,0.008529616650343,4.69526472135024e-05,0.037088315726131,0.000207774897101,1.14823095871148,0.0190434501282602
152Eu,121.7817,1,152Sm,B3,0.008918804200187,4.90910925134508e-05,0.038098963320798,0.000213351128662,1.20581029362364,0.0199946196183943
226Ra,186.211,1,222Rn,A0,0.006925651881969,6.12453665373888e-05,0.0330991336904,0.000292178005812,NA,NA
226Ra,186.211,1,222Rn,A1,0.007098879656081,6.27535955426063e-05,0.034862669645052,0.000307669834654,1.10395585216034,0.0212130529442829
226Ra,186.211,1,222Rn,A2,0.006772770903865,5.98886614021501e-05,0.033764445835941,0.000297978723714,1.08666367785743,0.0208867961877504
226Ra,186.211,1,222Rn,A3,0.006956834451468,6.15246367293853e-05,0.034038452721576,0.000300468974063,1.03964694191766,0.019984213837942
226Ra,186.211,1,222Rn,B0,0.007382124437905,6.52704412511139e-05,0.034735394347678,0.000306587274784,1.02586722088085,0.0197163641030711
226Ra,186.211,1,222Rn,B1,0.007082216978085,6.26129146476301e-05,0.03372278711734,0.000297630868115,1.00509351097659,0.0193188208922971
226Ra,186.211,1,222Rn,B2,0.007142054371927,6.31827884417605e-05,0.033629471788005,0.000296791918391,1.06032733296838,0.0203827545521328
226Ra,186.211,1,222Rn,B3,0.007369720024553,6.51415819797341e-05,0.035765474629451,0.000315599260349,1.06138394123279,0.020396761575282
226Ra,241.997,1,214Bi,A0,0.005592654869121,5.14482286536245e-05,0.027068734360249,0.000248817871493,NA,NA
226Ra,241.997,1,214Bi,A1,0.005885826942561,5.4137918329463e-05,0.028862768622205,0.000265284476262,1.10558473471515,0.0216166247852418
226Ra,241.997,1,214Bi,A2,0.005585636820199,5.13834009702448e-05,0.027505501219059,0.000252822952293,1.10012370477667,0.0215153834276085
226Ra,241.997,1,214Bi,A3,0.005698469318203,5.24208428430964e-05,0.02754707673127,0.000253210183904,1.05226885763535,0.0205790631486557
226Ra,241.997,1,214Bi,B0,0.0059316232773,5.45621658438549e-05,0.027861439763829,0.000256103851238,1.02766610078973,0.020096187670508
226Ra,241.997,1,214Bi,B1,0.005750749035352,5.28985206781771e-05,0.02670969491043,0.000245516324459,1.03042453246947,0.0201524959126605
226Ra,241.997,1,214Bi,B2,0.005729483306302,5.27082510460586e-05,0.026759969346396,0.000245979736624,1.0689729049464,0.0209066206142095
226Ra,241.997,1,214Bi,B3,0.00591826262119,5.44353788101474e-05,0.028365957542694,0.000260724042762,1.07468775440486,0.0210152154798297
152Eu,244.6974,1,152Sm,A0,0.005466016010049,3.36989620526906e-05,0.025193424770967,0.000166059192673,NA,NA
152Eu,244.6974,1,152Sm,A1,0.005768689257945,3.55416419941975e-05,0.026036281893584,0.000170879279756,1.20121490736552,0.020604976073154
152Eu,244.6974,1,152Sm,A2,0.005491460172907,3.38527223801596e-05,0.025486528859777,0.000167569181946,1.16725445227128,0.0200347647315867
152Eu,244.6974,1,152Sm,A3,0.005576140192419,3.43725478946164e-05,0.026270952130247,0.000172697612313,1.07969699550935,0.0185307843509687
152Eu,244.6974,1,152Sm,B0,0.005739289759867,3.53657987659688e-05,0.023886090803773,0.000157507446162,1.15983202942664,0.0199123683406797
152Eu,244.6974,1,152Sm,B1,0.005590927965655,3.44547446573396e-05,0.023462663293329,0.000154574978649,1.14042647407987,0.0195798040489648
152Eu,244.6974,1,152Sm,B2,0.005569805935452,3.43272051939216e-05,0.023347272808567,0.000153861131518,1.19107951728258,0.0204502159333947
152Eu,244.6974,1,152Sm,B3,0.005774320330319,3.55726105817171e-05,0.024079047797503,0.000158311121506,1.23522786384179,0.0211970698565277
226Ra,295.224,1,214Bi,A0,0.004721351178894,4.04635631242563e-05,0.022882212397048,0.000196033675754,NA,NA
226Ra,295.224,1,214Bi,A1,0.004991746049239,4.27781682484545e-05,0.024540632701662,0.000210233141181,1.1027809626347,0.0209248663426511
226Ra,295.224,1,214Bi,A2,0.004698306038478,4.02658404770833e-05,0.023177097508743,0.000198557683806,1.09817270768439,0.0208425980472714
226Ra,295.224,1,214Bi,A3,0.0048122280831,4.12420112746227e-05,0.02323909817575,0.000199089967869,1.05334576730255,0.0199913465522092
226Ra,295.224,1,214Bi,B0,0.005004347546163,4.28868590405102e-05,0.023558933083662,0.000201829542711,1.02535409443554,0.0194583802201453
226Ra,295.224,1,214Bi,B1,0.004835244054015,4.14383107982187e-05,0.022459909817776,0.000192417060112,1.03031754029764,0.0195551336935838
226Ra,295.224,1,214Bi,B2,0.004826275205191,4.13621477157945e-05,0.022569709704462,0.000193357522556,1.06763538713746,0.020263196190704
226Ra,295.224,1,214Bi,B3,0.004968487884059,4.25790855968391e-05,0.023932686523228,0.000205028068337,1.06934612164177,0.0202932698794351
152Eu,344.2785,1,152Gd,A0,0.0040684248072,2.22373819316292e-05,0.019952846528178,0.000112505398833,NA,NA
152Eu,344.2785,1,152Gd,A1,0.004336542785537,2.3696139401936e-05,0.021039726388545,0.000118384066052,1.11744480466039,0.0185214519532272
152Eu,344.2785,1,152Gd,A2,0.004057501615157,2.21773872181082e-05,0.020211299535616,0.000113852695647,1.0875590697783,0.0180344476824238
152Eu,344.2785,1,152Gd,A3,0.00412987906899,2.25719562069622e-05,0.02097981497544,0.000118139884359,1.00133570671221,0.0166033735263057
