Nuclide,Energy,is_InCas,Daughter,Detector,x100mm,dx100mm,x13mm,dx13mm
152Eu,121.7817,1,152Sm,A0,0.008610212722815,4.73972256116552E-05,0.041158552456779,0.000230472339451
152Eu,244.6974,1,152Sm,A0,0.005466016010049,3.36989620526906E-05,0.025193424770967,0.000166059192673
152Eu,344.2785,1,152Gd,A0,0.0040684248072,2.22373819316292E-05,0.019952846528178,0.000112505398833
152Eu,411.1165,1,152Gd,A0,0.003424835894107,1.98344039448186E-05,0.015972722137303,0.000130734476182
152Eu,443.965,1,152Sm,A0,0.003167857137786,1.80478206309877E-05,0.014457000177882,0.000109314464704
152Eu,778.9045,1,152Gd,A0,0.001920920760377,1.08278346630265E-05,0.00929486044484,5.85687569315668E-05
152Eu,867.38,1,152Sm,A0,0.001744771355986,1.1441433019193E-05,0.008003560299481,7.03442117521317E-05
152Eu,964.072,1,152Sm,A0,0.001601275823898,8.3529135121708E-06,0.007629227152785,4.54405675648497E-05
152Eu,1085.837,1,152Sm,A0,0.001491888338777,1.01283264147878E-05,0.0075567476232,5.75672386257626E-05
152Eu,1089.737,1,152Gd,A0,0.001532661655877,1.15768504841445E-05,0.007488993930223,9.81986634070647E-05
152Eu,1112.076,1,152Sm,A0,0.001445910649529,8.00506824438234E-06,0.006980834504596,4.43985184265602E-05
152Eu,1212.948,1,152Sm,A0,0.00129950711937,1.07406543673377E-05,0.005952118629412,8.80992130671569E-05
152Eu,1299.142,1,152Gd,A0,0.001243812584094,1.20061486184499E-05,0.005966762642805,7.38348783076876E-05
152Eu,1408.013,1,152Sm,A0,0.001167791670082,6.27806163315545E-06,0.005585454394835,3.36640540186238E-05
152Eu,121.7817,1,152Sm,A1,0.008785327155679,4.83586932473274E-05,0.041866891632238,0.00023431486453
152Eu,244.6974,1,152Sm,A1,0.005768689257945,3.55416419941975E-05,0.026036281893584,0.000170879279756
152Eu,344.2785,1,152Gd,A1,0.004336542785537,2.3696139401936E-05,0.021039726388545,0.000118384066052
152Eu,411.1165,1,152Gd,A1,0.003659921717666,2.10530945950506E-05,0.016757461240553,0.000133390297375
152Eu,443.965,1,152Sm,A1,0.003408986711437,1.93192519899159E-05,0.015631575227303,0.000114715815714
152Eu,778.9045,1,152Gd,A1,0.00211732291208,1.19122537209175E-05,0.010092556116955,6.28325110445565E-05
152Eu,867.38,1,152Sm,A1,0.001910025538887,1.24525132819187E-05,0.008571815437752,7.34211554693236E-05
152Eu,964.072,1,152Sm,A1,0.00176641404429,9.19478384181152E-06,0.00828559292814,4.86980180262818E-05
152Eu,1085.837,1,152Sm,A1,0.001549223465182,1.05183567816231E-05,0.008232427809029,6.19304019266984E-05
152Eu,1089.737,1,152Gd,A1,0.001105821669708,9.10546981848281E-06,0.008196818580144,0.000101391553643
152Eu,1112.076,1,152Sm,A1,0.001607937968451,8.88044840635508E-06,0.007698030209455,4.81783419780705E-05
